figure	function	call	n	run	seconds	bytes
vector	quantile	quantile(x, c(.25,.5,.75))	10000	0	0.000287681818008423	286620.800000004
vector	quantile	quantile(x, c(.25,.5,.75))	10000	1	0.000271886587142944	286620.800000004
vector	quantile	quantile(x, c(.25,.5,.75))	10000	2	0.000252693891525269	286620.800000004
vector	quantile	quantile(x, c(.25,.5,.75))	10000	3	0.000247478485107422	286620.800000004
vector	quantile	quantile(x, c(.25,.5,.75))	10000	4	0.000251322984695435	286620.800000004
vector	quantile	quantile(x, c(.25,.5,.75))	10000	5	0.000237435102462769	286620.800000004
vector	quantile	quantile(x, c(.25,.5,.75))	10000	6	0.000241756439208984	286620.800000004
vector	cor	cor(x, y)	10000	0	8.42717977670523e-05	177419.200000003
vector	cor	cor(x, y)	10000	1	8.03103813758263e-05	177419.200000003
vector	cor	cor(x, y)	10000	2	7.77427966778095e-05	177419.200000003
vector	cor	cor(x, y)	10000	3	7.61655660775992e-05	177419.200000003
vector	cor	cor(x, y)	10000	4	7.57162387554462e-05	177419.200000003
vector	cor	cor(x, y)	10000	5	7.59088076077975e-05	177419.200000003
vector	cor	cor(x, y)	10000	6	7.45058059692383e-05	177419.200000003
vector	cov	cov(x, y)	10000	0	6.79877496534778e-05	173067.200000003
vector	cov	cov(x, y)	10000	1	6.36269969324912e-05	173067.200000003
vector	cov	cov(x, y)	10000	2	6.12812657510081e-05	173067.200000003
vector	cov	cov(x, y)	10000	3	6.17657938311177e-05	173067.200000003
vector	cov	cov(x, y)	10000	4	6.25656497093939e-05	173067.200000003
vector	cov	cov(x, y)	10000	5	6.02199185279108e-05	173067.200000003
vector	cov	cov(x, y)	10000	6	5.98584451983052e-05	173067.200000003
vector	sum	sum(x)	30000	0	2.75828621604226e-05	188169.600000001
vector	sum	sum(x)	30000	1	2.70410017533736e-05	188169.600000001
vector	sum	sum(x)	30000	2	2.63560901988636e-05	188169.600000001
vector	sum	sum(x)	30000	3	2.54327600652521e-05	188169.600000001
vector	sum	sum(x)	30000	4	2.50816345214844e-05	188169.600000001
vector	sum	sum(x)	30000	5	2.49689275568182e-05	188169.600000001
vector	sum	sum(x)	30000	6	2.49169089577415e-05	188169.600000001
vector	min	min(x)	30000	0	3.64822253846286e-05	183817.600000001
vector	min	min(x)	30000	1	3.50433483458402e-05	183817.600000001
vector	min	min(x)	30000	2	3.37299547697368e-05	183817.600000001
vector	min	min(x)	30000	3	3.34455255876508e-05	183817.600000001
vector	min	min(x)	30000	4	3.53654225667318e-05	183817.600000001
vector	min	min(x)	30000	5	3.30648924175062e-05	183817.600000001
vector	min	min(x)	30000	6	3.22283359996059e-05	183817.600000001
vector	max	max(x)	30000	0	3.60723127398575e-05	179457.600000001
vector	max	max(x)	30000	1	3.43531893010725e-05	179457.600000001
vector	max	max(x)	30000	2	3.31652791876542e-05	179457.600000001
vector	max	max(x)	30000	3	3.30858063279537e-05	179457.600000001
vector	max	max(x)	30000	4	3.2295260513038e-05	179457.600000001
vector	max	max(x)	30000	5	3.35208156652618e-05	179457.600000001
vector	max	max(x)	30000	6	3.23245399876645e-05	179457.600000001
vector	mean	mean(x)	30000	0	5.75104275265256e-05	175193.600000001
vector	mean	mean(x)	30000	1	5.61572409964897e-05	175193.600000001
vector	mean	mean(x)	30000	2	5.65696407008815e-05	175193.600000001
vector	mean	mean(x)	30000	3	5.24778623838682e-05	175193.600000001
vector	mean	mean(x)	30000	4	5.13179882152661e-05	175193.600000001
vector	mean	mean(x)	30000	5	5.12471070160737e-05	175193.600000001
vector	mean	mean(x)	30000	6	5.05382950241501e-05	175193.600000001
vector	median	median(x)	30000	0	0.000540304183959961	590264
vector	median	median(x)	30000	1	0.000519752502441406	590264
vector	median	median(x)	30000	2	0.000507974624633789	590264
vector	median	median(x)	30000	3	0.000558805465698242	590264
vector	median	median(x)	30000	4	0.000598049163818359	590264
vector	median	median(x)	30000	5	0.000603151321411133	590264
vector	median	median(x)	30000	6	0.000627040863037109	590264
vector	sd	sd(x)	30000	0	0.000103201184953962	166569.600000001
vector	sd	sd(x)	30000	1	9.67752365838914e-05	166569.600000001
vector	sd	sd(x)	30000	2	0.000100601287115188	166569.600000001
vector	sd	sd(x)	30000	3	9.39369201660156e-05	166569.600000001
vector	sd	sd(x)	30000	4	9.37779744466146e-05	166569.600000001
vector	sd	sd(x)	30000	5	9.28924197242373e-05	166569.600000001
vector	sd	sd(x)	30000	6	9.08488319033668e-05	166569.600000001
vector	var	var(x)	30000	0	0.00010205398906361	162201.600000001
vector	var	var(x)	30000	1	0.000102476640181108	162201.600000001
vector	var	var(x)	30000	2	9.44896177812056e-05	162201.600000001
vector	var	var(x)	30000	3	9.42078503695401e-05	162201.600000001
vector	var	var(x)	30000	4	9.17152924971147e-05	162201.600000001
vector	var	var(x)	30000	5	9.1531059958718e-05	162201.600000001
vector	var	var(x)	30000	6	9.09133390946822e-05	162201.600000001
vector	quantile	quantile(x, c(.25,.5,.75))	30000	0	0.000667452812194824	577264
vector	quantile	quantile(x, c(.25,.5,.75))	30000	1	0.000599384307861328	577264
vector	quantile	quantile(x, c(.25,.5,.75))	30000	2	0.000573337078094482	577264
vector	quantile	quantile(x, c(.25,.5,.75))	30000	3	0.000611782073974609	577264
vector	quantile	quantile(x, c(.25,.5,.75))	30000	4	0.000639736652374268	577264
vector	quantile	quantile(x, c(.25,.5,.75))	30000	5	0.000622153282165527	577264
vector	quantile	quantile(x, c(.25,.5,.75))	30000	6	0.000613033771514893	577264
vector	cor	cor(x, y)	30000	0	0.000230073928833008	153569.600000001
vector	cor	cor(x, y)	30000	1	0.000219297409057617	153569.600000001
vector	cor	cor(x, y)	30000	2	0.000212669372558594	153569.600000001
vector	cor	cor(x, y)	30000	3	0.000208330154418945	153569.600000001
vector	cor	cor(x, y)	30000	4	0.000208067893981934	153569.600000001
vector	cor	cor(x, y)	30000	5	0.000201869010925293	153569.600000001
vector	cor	cor(x, y)	30000	6	0.000202083587646484	153569.600000001
vector	cov	cov(x, y)	30000	0	0.000178833802541097	149193.600000001
vector	cov	cov(x, y)	30000	1	0.000176270802815755	149193.600000001
vector	cov	cov(x, y)	30000	2	0.000163296858469645	149193.600000001
vector	cov	cov(x, y)	30000	3	0.000161488850911458	149193.600000001
vector	cov	cov(x, y)	30000	4	0.00016176700592041	149193.600000001
vector	cov	cov(x, y)	30000	5	0.000156621138254801	149193.600000001
vector	cov	cov(x, y)	30000	6	0.000156064828236898	149193.600000001
vector	sum	sum(x)	100000	0	9.47280363603072e-05	108014.400000006
vector	sum	sum(x)	100000	1	9.09241763028232e-05	108014.400000006
vector	sum	sum(x)	100000	2	8.58523628928445e-05	108014.400000006
vector	sum	sum(x)	100000	3	8.38149677623402e-05	108014.400000006
vector	sum	sum(x)	100000	4	8.46060839566317e-05	108014.400000006
vector	sum	sum(x)	100000	5	8.30455259843306e-05	108014.400000006
vector	sum	sum(x)	100000	6	8.03687355735085e-05	108014.400000006
vector	min	min(x)	100000	0	0.000122346376117907	103630.400000006
vector	min	min(x)	100000	1	0.000119761416786595	103630.400000006
vector	min	min(x)	100000	2	0.000112646504452354	103630.400000006
vector	min	min(x)	100000	3	0.000109873319927015	103630.400000006
vector	min	min(x)	100000	4	0.00010965999804045	103630.400000006
vector	min	min(x)	100000	5	0.000108932193956877	103630.400000006
vector	min	min(x)	100000	6	0.000106497814780787	103630.400000006
vector	max	max(x)	100000	0	0.000124467046637284	99366.400000006
vector	max	max(x)	100000	1	0.000116774910374692	99366.400000006
vector	max	max(x)	100000	2	0.000111617540058337	99366.400000006
vector	max	max(x)	100000	3	0.000109710191425524	99366.400000006
vector	max	max(x)	100000	4	0.000109095322458368	99366.400000006
vector	max	max(x)	100000	5	0.00010924590261359	99366.400000006
vector	max	max(x)	100000	6	0.000107125232094213	99366.400000006
vector	mean	mean(x)	100000	0	0.000192503134409587	94974.400000006
vector	mean	mean(x)	100000	1	0.000177899996439616	94974.400000006
vector	mean	mean(x)	100000	2	0.000171999136606852	94974.400000006
vector	mean	mean(x)	100000	3	0.00016625722249349	94974.400000006
vector	mean	mean(x)	100000	4	0.000166773796081543	94974.400000006
vector	mean	mean(x)	100000	5	0.000163535277048747	94974.400000006
vector	mean	mean(x)	100000	6	0.000162243843078613	94974.400000006
vector	median	median(x)	100000	0	0.00148892402648926	1663574.40000001
vector	median	median(x)	100000	1	0.00180935859680176	1663574.40000001
vector	median	median(x)	100000	2	0.00170385837554932	1663574.40000001
vector	median	median(x)	100000	3	0.00173020362854004	1663574.40000001
vector	median	median(x)	100000	4	0.001717209815979	1663574.40000001
vector	median	median(x)	100000	5	0.00176906585693359	1663574.40000001
vector	median	median(x)	100000	6	0.00170648097991943	1663574.40000001
vector	sd	sd(x)	100000	0	0.00032874516078404	86446.400000006
vector	sd	sd(x)	100000	1	0.000310795647757394	86446.400000006
vector	sd	sd(x)	100000	2	0.000301088605608259	86446.400000006
vector	sd	sd(x)	100000	3	0.000300713947841099	86446.400000006
vector	sd	sd(x)	100000	4	0.000293050493512835	86446.400000006
vector	sd	sd(x)	100000	5	0.000290768487112863	86446.400000006
vector	sd	sd(x)	100000	6	0.000289440155029297	86446.400000006
vector	var	var(x)	100000	0	0.000322954995291574	82054.400000006
vector	var	var(x)	100000	1	0.000309194837297712	82054.400000006
vector	var	var(x)	100000	2	0.000306708472115653	82054.400000006
vector	var	var(x)	100000	3	0.000300611768450056	82054.400000006
vector	var	var(x)	100000	4	0.000297648566109794	82054.400000006
vector	var	var(x)	100000	5	0.000292573656354632	82054.400000006
vector	var	var(x)	100000	6	0.000292164938790458	82054.400000006
vector	quantile	quantile(x, c(.25,.5,.75))	100000	0	0.00254678726196289	1440939.2
vector	quantile	quantile(x, c(.25,.5,.75))	100000	1	0.00232648849487305	1440939.2
vector	quantile	quantile(x, c(.25,.5,.75))	100000	2	0.00250506401062012	1440939.2
vector	quantile	quantile(x, c(.25,.5,.75))	100000	3	0.00250577926635742	1440939.2
vector	quantile	quantile(x, c(.25,.5,.75))	100000	4	0.00242972373962402	1440939.2
vector	quantile	quantile(x, c(.25,.5,.75))	100000	5	0.00246620178222656	1440939.2
vector	quantile	quantile(x, c(.25,.5,.75))	100000	6	0.00241708755493164	1440939.2
vector	cor	cor(x, y)	100000	0	0.000827948252360026	73390.400000006
vector	cor	cor(x, y)	100000	1	0.000696579615275065	73390.400000006
vector	cor	cor(x, y)	100000	2	0.000668525695800781	73390.400000006
vector	cor	cor(x, y)	100000	3	0.00066979726155599	73390.400000006
vector	cor	cor(x, y)	100000	4	0.000660578409830729	73390.400000006
vector	cor	cor(x, y)	100000	5	0.00066073735555013	73390.400000006
vector	cor	cor(x, y)	100000	6	0.000650326410929362	73390.400000006
vector	cov	cov(x, y)	100000	0	0.000585496425628662	69126.400000006
vector	cov	cov(x, y)	100000	1	0.000543653964996338	69126.400000006
vector	cov	cov(x, y)	100000	2	0.00051724910736084	69126.400000006
vector	cov	cov(x, y)	100000	3	0.000512003898620605	69126.400000006
vector	cov	cov(x, y)	100000	4	0.000518321990966797	69126.400000006
vector	cov	cov(x, y)	100000	5	0.000499069690704346	69126.400000006
vector	cov	cov(x, y)	100000	6	0.00049746036529541	69126.400000006
vector	sum	sum(x)	300000	0	0.000286102294921875	49243.200000003
vector	sum	sum(x)	300000	1	0.000264585018157959	49243.200000003
vector	sum	sum(x)	300000	2	0.000251978635787964	49243.200000003
vector	sum	sum(x)	300000	3	0.000246405601501465	49243.200000003
vector	sum	sum(x)	300000	4	0.000245839357376099	49243.200000003
vector	sum	sum(x)	300000	5	0.000240325927734375	49243.200000003
vector	sum	sum(x)	300000	6	0.000239729881286621	49243.200000003
vector	min	min(x)	300000	0	0.000382219042096819	44979.200000003
vector	min	min(x)	300000	1	0.000350849969046456	44979.200000003
vector	min	min(x)	300000	2	0.000333854130336217	44979.200000003
vector	min	min(x)	300000	3	0.000328200204031808	44979.200000003
vector	min	min(x)	300000	4	0.00032670157296317	44979.200000003
vector	min	min(x)	300000	5	0.000319651194981166	44979.200000003
vector	min	min(x)	300000	6	0.000320025852748326	44979.200000003
vector	max	max(x)	300000	0	0.000369037900652204	40715.200000003
vector	max	max(x)	300000	1	0.00034717151096889	40715.200000003
vector	max	max(x)	300000	2	0.00033848626273019	40715.200000003
vector	max	max(x)	300000	3	0.000328098024640765	40715.200000003
vector	max	max(x)	300000	4	0.000323942729404994	40715.200000003
vector	max	max(x)	300000	5	0.000325543539864676	40715.200000003
vector	max	max(x)	300000	6	0.00032080922807966	40715.200000003
vector	mean	mean(x)	300000	0	0.000539827346801758	36299.200000003
vector	mean	mean(x)	300000	1	0.000513982772827148	36299.200000003
vector	mean	mean(x)	300000	2	0.000496244430541992	36299.200000003
vector	mean	mean(x)	300000	3	0.000493049621582031	36299.200000003
vector	mean	mean(x)	300000	4	0.000482082366943359	36299.200000003
vector	mean	mean(x)	300000	5	0.000481843948364258	36299.200000003
vector	mean	mean(x)	300000	6	0.000484800338745117	36299.200000003
vector	median	median(x)	300000	0	0.00606727600097656	4960342.40000001
vector	median	median(x)	300000	1	0.00565600395202637	4960342.40000001
vector	median	median(x)	300000	2	0.00556063652038574	4960342.40000001
vector	median	median(x)	300000	3	0.00554108619689941	4960342.40000001
vector	median	median(x)	300000	4	0.00573325157165527	4960342.40000001
vector	median	median(x)	300000	5	0.00555920600891113	4960342.40000001
vector	median	median(x)	300000	6	0.00561642646789551	4960342.40000001
vector	sd	sd(x)	300000	0	0.000989754994710286	132628.800000004
vector	sd	sd(x)	300000	1	0.000921249389648438	132628.800000004
vector	sd	sd(x)	300000	2	0.000879605611165365	132628.800000004
vector	sd	sd(x)	300000	3	0.000856320063273112	132628.800000004
vector	sd	sd(x)	300000	4	0.000855286916097005	132628.800000004
vector	sd	sd(x)	300000	5	0.000849326451619466	132628.800000004
vector	sd	sd(x)	300000	6	0.000849008560180664	132628.800000004
vector	var	var(x)	300000	0	0.000985145568847656	128204.800000004
vector	var	var(x)	300000	1	0.000905275344848633	128204.800000004
vector	var	var(x)	300000	2	0.00088047981262207	128204.800000004
vector	var	var(x)	300000	3	0.000861008961995443	128204.800000004
vector	var	var(x)	300000	4	0.00085139274597168	128204.800000004
vector	var	var(x)	300000	5	0.000873168309529622	128204.800000004
vector	var	var(x)	300000	6	0.000888268152872721	128204.800000004
vector	quantile	quantile(x, c(.25,.5,.75))	300000	0	0.00710535049438477	3793956.8
vector	quantile	quantile(x, c(.25,.5,.75))	300000	1	0.00736904144287109	3793956.8
vector	quantile	quantile(x, c(.25,.5,.75))	300000	2	0.00702738761901855	3793956.8
vector	quantile	quantile(x, c(.25,.5,.75))	300000	3	0.00705409049987793	3793956.8
