figure	function	call	n	run	seconds	bytes	language	version
vector	cor	cor($x, $y)	3000	2	8.8047981262207e-06	45056	Stats::LikeR	0.321
vector	cor	cor($x, $y)	3000	3	8.73565673828125e-06	45056	Stats::LikeR	0.321
vector	cor	cor($x, $y)	3000	4	8.82506370544434e-06	45056	Stats::LikeR	0.321
vector	cor	cor($x, $y)	3000	5	8.77022743225098e-06	45056	Stats::LikeR	0.321
vector	cor	cor($x, $y)	3000	6	8.73193508241235e-06	45056	Stats::LikeR	0.321
vector	cov	cov($x, $y)	3000	0	1.00338381100324e-05	45056	Stats::LikeR	0.321
vector	cov	cov($x, $y)	3000	1	9.97228995381787e-06	45056	Stats::LikeR	0.321
vector	cov	cov($x, $y)	3000	2	9.99371210734049e-06	45056	Stats::LikeR	0.321
vector	cov	cov($x, $y)	3000	3	9.98882648071956e-06	45056	Stats::LikeR	0.321
vector	cov	cov($x, $y)	3000	4	1.00482593883168e-05	45056	Stats::LikeR	0.321
vector	cov	cov($x, $y)	3000	5	9.92889612750277e-06	45056	Stats::LikeR	0.321
vector	cov	cov($x, $y)	3000	6	9.98882648071956e-06	45056	Stats::LikeR	0.321
vector	skew	skew($x)	3000	0	2.97216268686148e-05	4096	Stats::LikeR	0.321
vector	skew	skew($x)	3000	1	2.94500322484258e-05	4096	Stats::LikeR	0.321
vector	skew	skew($x)	3000	2	2.9624398074933e-05	4096	Stats::LikeR	0.321
vector	skew	skew($x)	3000	3	2.9624398074933e-05	4096	Stats::LikeR	0.321
vector	skew	skew($x)	3000	4	2.9446528508113e-05	4096	Stats::LikeR	0.321
vector	skew	skew($x)	3000	5	2.9538994404807e-05	4096	Stats::LikeR	0.321
vector	skew	skew($x)	3000	6	2.94144473858734e-05	4096	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	3000	0	2.9553228349828e-05	0	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	3000	1	2.94942122239333e-05	0	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	3000	2	2.94281886174129e-05	0	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	3000	3	2.94816905054553e-05	0	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	3000	4	2.94322398171496e-05	0	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	3000	5	2.93815837186926e-05	0	Stats::LikeR	0.321
vector	kurtosis	kurtosis($x)	3000	6	2.94785001384678e-05	0	Stats::LikeR	0.321
vector	sum	sum($x)	10000	0	7.04437625565718e-06	0	Stats::LikeR	0.321
vector	sum	sum($x)	10000	1	6.89483364583992e-06	0	Stats::LikeR	0.321
vector	sum	sum($x)	10000	2	6.87393487668505e-06	0	Stats::LikeR	0.321
vector	sum	sum($x)	10000	3	6.85815386443968e-06	0	Stats::LikeR	0.321
vector	sum	sum($x)	10000	4	6.81503146302466e-06	0	Stats::LikeR	0.321
vector	sum	sum($x)	10000	5	6.87070221070819e-06	0	Stats::LikeR	0.321
vector	sum	sum($x)	10000	6	6.82243934044471e-06	0	Stats::LikeR	0.321
vector	min	min($x)	10000	0	1.07974008797041e-05	4096	Stats::LikeR	0.321
vector	min	min($x)	10000	1	1.07974008797041e-05	4096	Stats::LikeR	0.321
vector	min	min($x)	10000	2	1.07671533312116e-05	4096	Stats::LikeR	0.321
vector	min	min($x)	10000	3	1.07856023879278e-05	4096	Stats::LikeR	0.321
vector	min	min($x)	10000	4	1.07653154050066e-05	4096	Stats::LikeR	0.321
vector	min	min($x)	10000	5	1.07671533312116e-05	4096	Stats::LikeR	0.321
vector	min	min($x)	10000	6	1.07770409088969e-05	4096	Stats::LikeR	0.321
vector	max	max($x)	10000	0	1.07755194177161e-05	0	Stats::LikeR	0.321
vector	max	max($x)	10000	1	1.07653154050066e-05	0	Stats::LikeR	0.321
vector	max	max($x)	10000	2	1.08225005013602e-05	0	Stats::LikeR	0.321
vector	max	max($x)	10000	3	1.07431672309917e-05	0	Stats::LikeR	0.321
vector	max	max($x)	10000	4	1.07558000655401e-05	0	Stats::LikeR	0.321
vector	max	max($x)	10000	5	1.07799257550921e-05	0	Stats::LikeR	0.321
vector	max	max($x)	10000	6	1.07314417271015e-05	0	Stats::LikeR	0.321
vector	sum	List::Util::sum(@$x)	10000	0	4.45713868012299e-05	81920	List::Util	1.70
vector	sum	List::Util::sum(@$x)	10000	1	4.3706196110423e-05	81920	List::Util	1.70
vector	sum	List::Util::sum(@$x)	10000	2	4.47676731989934e-05	81920	List::Util	1.70
vector	sum	List::Util::sum(@$x)	10000	3	4.38016393910284e-05	81920	List::Util	1.70
vector	sum	List::Util::sum(@$x)	10000	4	4.38637203640408e-05	81920	List::Util	1.70
vector	sum	List::Util::sum(@$x)	10000	5	4.45635422416355e-05	81920	List::Util	1.70
vector	sum	List::Util::sum(@$x)	10000	6	4.32729721069336e-05	81920	List::Util	1.70
